BASIN	06ASM2024052006
2008300031	0.56
2008300032	0.56
2008300033	0.57
2008300034	0.60
2008300035	0.60
2008300039	0.53
2008300044	0.37
2008300045	0.62
2008300046	0.66
2008300049	0.66
2008300050	0.59
2008300051	0.65
2008300052	0.42
2008300053	0.54
2008300054	0.61
2008300055	0.69
2008300056	0.66
2008300057	0.63
2008300058	0.54
2008300059	0.58
2008300060	0.58
2008300061	0.60
2008300062	0.60
2008300063	0.60
2008300076	0.64
2008300078	0.70
2008300079	0.90
2008300109	0.33
2008300133	0.45
2008300213	0.34
2008300214	0.37
2008300215	0.37
2008300216	0.37
2008300217	0.33
2008300218	0.52
2008300219	0.37
2008300220	0.42
2008300221	0.51
2008300222	0.74
2008300223	0.39
2008300224	0.40
2008300225	0.60
2008300226	0.43
2008300227	0.40
2008300228	0.61
2008300229	0.46
2008300230	0.45
2008300231	0.67
2008300232	0.68
2008300233	0.61
2008300234	0.66
2008300235	0.44
2008300236	0.44
2008300237	0.46
2008300238	0.40
2008300239	0.39
2008300240	0.49
2008300241	0.62
2008300242	0.50
2008300243	0.69
2008300244	0.58
2008300245	0.80
2008300246	0.64
2008300247	0.77
2008300248	0.69
2008300249	0.63
2008300250	0.61
2008300251	0.68
2008300252	0.47
2008300253	0.43
2008300254	0.42
2008300255	0.44
2008300256	0.44
2008300257	0.57
2008300299	0.68
2008300304	0.46
2008300305	0.44
2008300313	0.41
2008300314	0.47
2008300315	0.42
2008300316	0.43
2008300317	0.47
2008300318	0.44
2008300319	0.40
2008300320	0.40
2008300321	0.43
2008300322	0.49
2008300323	0.49
2008300324	0.48
2008300325	0.41
2008300326	0.39
2008300335	0.62
2008300453	0.51
2008300479	0.40
2008300480	0.36
2008401845	0.43
2008401846	0.36
2008401847	0.41
2008401849	0.41
2008401850	0.43
2008401851	0.40
2008401852	0.36
2008401853	0.56
2008401854	0.51
2008401855	0.27
2008401856	0.34
2008401859	0.42
2008401860	0.25
2008401861	0.32
2008401862	0.43
2008401863	0.38
2008401864	0.65
2008401865	0.42
2008401866	0.47
2008401867	0.71
2008401868	0.69
2008401869	0.43
2008401870	0.44
2008401871	0.44
2008401872	0.37
2008401873	0.48
2008401874	0.48
2008401875	0.23
2008401876	0.49
2008401877	0.57
2008401878	0.66
2008401882	0.43
2008401886	0.24
2008401887	0.41
2008401888	0.29
2008401889	0.53
2008401890	0.45
2008401891	0.49
2008401892	0.54
2008401907	0.35
2008401909	0.56
2008401910	0.54
2008401911	0.55
2008401912	0.52
2008401913	0.76
2008401914	0.51
2008401915	0.50
2008401916	0.60
2008401917	0.60
2008401918	0.54
2008401919	0.50
2008401920	0.48
2008401921	0.70
2008401922	0.66
2008401923	0.58
2008401924	0.45
2008401925	0.65
2008401926	0.56
2008401927	0.50
2008401928	0.66
2008401929	0.57
2008401930	0.54
2008401931	0.68
2008401932	0.53
2008401933	0.39
2008401934	0.28
2008401935	0.60
2008401936	0.42
2008401937	0.47
2008401938	0.48
2008401939	0.61
2008401940	0.55
2008401941	0.68
2008401942	0.58
2008401943	0.56
2008401944	0.58
2008401945	0.64
2008401946	0.54
2008401947	0.66
2008401948	0.63
2008401949	0.94
2008401950	0.92
2008401951	0.96
2008401952	0.97
2008401953	0.66
2008401954	0.73
2008401955	0.64
2008401956	0.67
2008401957	0.66
2008401958	0.73
2008401959	0.62
2008401960	0.68
2008401961	0.56
2008401962	0.61
2008401963	0.96
2008401964	0.64
2008401965	0.54
2008401966	0.87
2008401967	0.88
2008401968	0.84
2008401969	0.35
2008401970	0.82
2008401971	0.39
2008401972	0.80
2008401973	0.50
2008401974	0.62
2008401975	0.66
2008401976	0.46
2008401977	0.51
2008401978	0.51
2008401979	0.51
2008401980	0.52
2008401981	0.53
2008401982	0.53
2008401983	0.52
2008401984	0.52
2008401985	0.53
2008401986	0.53
2008401987	0.51
2008401988	0.52
2008401989	0.53
2008401990	0.53
2008401991	0.40
2008401992	0.40
2008401993	0.42
2008401994	0.37
2008401995	0.30
2008401996	0.38
2008401997	0.39
2008401998	0.42
2008401999	0.40
2008402000	0.40
2008402001	0.51
2008402002	0.39
2008402003	0.51
2008402004	0.39
2008402005	0.44
2008402006	0.78
2008402007	0.77
2008402008	0.80
2008402009	0.67
2008402010	0.88
2008402011	0.76
2008402012	0.85
2008402013	0.70
2008402014	0.47
2008402015	0.50
2008402016	0.65
2008402017	0.49
2008402018	0.65
2008402019	0.56
2008402020	0.67
2008402021	0.62
2008402022	0.68
2008402023	0.59
2008402024	0.74
2008402025	0.46
2008402026	0.50
2008402027	0.50
2008402028	0.50
2008402029	0.53
2008402030	0.53
2008402031	0.52
2008402032	0.52
2008402033	0.47
2008402034	0.50
2008402035	0.56
2008402036	0.49
2008402037	0.55
2008402038	0.50
2008402039	0.54
2008402040	0.51
2008402041	0.52
2008402042	0.51
2008402043	0.53
2008402044	0.49
2008402045	0.50
2008402046	0.52
2008402047	0.50
2008402048	0.47
2008402049	0.50
2008402050	0.42
2008402051	0.52
2008402052	0.26
2008402053	0.24
2008402054	0.28
2008402055	0.38
2008402056	0.69
2008402057	0.43
2008402058	0.61
2008402059	0.50
2008402060	0.64
2008402061	0.53
2008402062	0.51
2008402063	0.58
2008402064	0.45
2008402065	0.41
2008402066	0.24
2008402067	0.50
2008402068	0.38
2008402069	0.50
2008402070	0.26
2008402071	0.32
2008402072	0.44
2008402073	0.47
2008402074	0.38
2008402075	0.50
2008402076	0.35
2008402077	0.47
2008402078	0.51
2008402079	0.50
2008402080	0.50
2008402081	0.49
2008402082	0.45
2008402083	0.49
2008402084	0.49
2008402085	0.42
2008402086	0.39
2008402087	0.34
2008402088	0.51
2008402089	0.50
2008402090	0.50
2008402096	0.53
2008402097	0.43
2008402098	0.43
2008402099	0.46
2008402100	0.46
2008402101	0.50
2008402102	0.52
2008402103	0.48
2008402104	0.41
2008402105	0.46
2008402106	0.43
2008402107	0.47
2008402108	0.50
2008402109	0.43
2008402110	0.44
2008402111	0.42
2008402112	0.49
2008402113	0.49
2008402114	0.38
2008402130	0.51
2008402131	0.39
2008402132	0.47
2008402133	0.54
2008402134	0.39
2008402135	0.39
2008402136	0.42
2008402137	0.47
2008402138	0.49
2008402139	0.54
2008402140	0.48
2008402141	0.33
2008402142	0.35
2008402143	0.46
2008402144	0.32
2008402145	0.39
2008402146	0.34
2008402147	0.33
2008402148	0.36
2008402149	0.30
2008402150	0.48
2008402151	0.44
